==============================================================					
Station	r	twist	dr	c	AFNo. 
--------------------------------------------------------------					
1	2.18	13.08	1.36	3.37	1
2	4.23	13.08	2.74	3.695	1
3	6.965	13.08	2.73	4.008	1
4	10.04	13.08	3.42	4.359	2
5	13.8	12.28	4.1	4.601	3
6	17.9	10.82	4.1	4.555	4
7	22	9.59	4.1	4.354	4
8	26.1	8.4	4.1	4.128	5
9	30.2	7.17	4.1	3.877	6
10	34.3	5.95	4.1	3.625	6
11	38.4	4.77	4.1	3.379	7
12	42.5	3.66	4.1	3.133	7
13	46.6	2.72	4.1	2.887	8
14	50.7	1.92	4.1	2.641	8
15	54.46	1.19	3.42	2.415	8
16	57.535	0.62	2.73	2.199	8
17	60.265	0.27	2.73	1.743	8
18	62.315	0.08	1.37	1.05	8
--------------------------------------------------------------					
