==============================================================		
WindVxi	RotSpeed	BldPitch1
--------------------------------------------------------------		
3.00E+00	6.97E+00	0.00E+00
4.00E+00	7.18E+00	0.00E+00
5.00E+00	7.51E+00	0.00E+00
6.00E+00	7.94E+00	0.00E+00
7.00E+00	8.47E+00	0.00E+00
8.00E+00	9.16E+00	0.00E+00
9.00E+00	1.03E+01	0.00E+00
1.00E+01	1.14E+01	0.00E+00
1.10E+01	1.19E+01	0.00E+00
1.20E+01	1.21E+01	3.82E+00
1.30E+01	1.21E+01	6.60E+00
1.40E+01	1.21E+01	8.67E+00
1.50E+01	1.21E+01	1.05E+01
1.60E+01	1.21E+01	1.21E+01
1.70E+01	1.21E+01	1.35E+01
1.80E+01	1.21E+01	1.49E+01
1.90E+01	1.21E+01	1.62E+01
2.00E+01	1.21E+01	1.75E+01
2.10E+01	1.21E+01	1.87E+01
2.20E+01	1.21E+01	1.99E+01
2.30E+01	1.21E+01	2.12E+01
2.40E+01	1.21E+01	2.23E+01
2.50E+01	1.21E+01	2.35E+01
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
