==============================================================							
WindVxi	RotSpeed	BldPitch1					
--------------------------------------------------------------							
3.00E+00	6.97E+00	0.00E+00					
3.50E+00	7.08E+00	0.00E+00					
4.00E+00	7.18E+00	0.00E+00					
4.50E+00	7.34E+00	0.00E+00					
5.00E+00	7.51E+00	0.00E+00					
5.50E+00	7.72E+00	0.00E+00					
6.00E+00	7.94E+00	0.00E+00					
6.50E+00	8.21E+00	0.00E+00					
7.00E+00	8.47E+00	0.00E+00					
7.50E+00	8.81E+00	0.00E+00					
8.00E+00	9.16E+00	0.00E+00					
8.50E+00	9.73E+00	0.00E+00					
9.00E+00	1.03E+01	0.00E+00					
9.50E+00	1.09E+01	0.00E+00					
1.00E+01	1.14E+01	0.00E+00					
1.05E+01	1.17E+01	0.00E+00					
1.10E+01	1.19E+01	2.50E-01					
1.15E+01	1.20E+01	3.15E+00					
1.20E+01	1.21E+01	4.75E+00					
1.25E+01	1.21E+01	6.05E+00					
1.30E+01	1.21E+01	7.20E+00					
1.35E+01	1.21E+01	8.20E+00					
1.40E+01	1.21E+01	9.15E+00					
1.45E+01	1.21E+01	1.01E+01					
1.50E+01	1.21E+01	1.09E+01					
1.55E+01	1.21E+01	1.17E+01					
1.60E+01	1.21E+01	1.25E+01					
1.65E+01	1.21E+01	1.33E+01					
1.70E+01	1.21E+01	1.40E+01					
1.75E+01	1.21E+01	1.47E+01					
1.80E+01	1.21E+01	1.54E+01					
1.85E+01	1.21E+01	1.60E+01					
1.90E+01	1.21E+01	1.66E+01					
1.95E+01	1.21E+01	1.73E+01					
2.00E+01	1.21E+01	1.79E+01					
2.05E+01	1.21E+01	1.85E+01					
2.10E+01	1.21E+01	1.91E+01					
2.15E+01	1.21E+01	1.97E+01					
2.20E+01	1.21E+01	2.02E+01					
2.25E+01	1.21E+01	2.08E+01					
2.30E+01	1.21E+01	2.14E+01					
2.35E+01	1.21E+01	2.19E+01					
2.40E+01	1.21E+01	2.24E+01					
2.45E+01	1.21E+01	2.30E+01					
2.50E+01	1.21E+01	2.35E+01					
							
							
							
