==============================================================		
WindVxi	RotSpeed	BldPitch1
--------------------------------------------------------------		
3.00E+00	6.97E+00	0
3.50E+00	7.08E+00	0
4.00E+00	7.18E+00	0
4.50E+00	7.34E+00	0
5.00E+00	7.51E+00	0
5.50E+00	7.72E+00	0
6.00E+00	7.94E+00	0
6.50E+00	8.21E+00	0
7.00E+00	8.47E+00	0
7.50E+00	8.81E+00	0
8.00E+00	9.16E+00	0
8.50E+00	9.73E+00	0
9.00E+00	1.03E+01	0
9.50E+00	1.09E+01	0
1.00E+01	1.14E+01	0
1.05E+01	1.17E+01	0
1.10E+01	1.19E+01	0
1.15E+01	1.20E+01	2
1.20E+01	1.21E+01	3.95
1.25E+01	1.21E+01	5.4
1.30E+01	1.21E+01	6.6
1.35E+01	1.21E+01	7.7
1.40E+01	1.21E+01	8.7
1.45E+01	1.21E+01	9.6
1.50E+01	1.21E+01	10.5
1.55E+01	1.21E+01	11.3
1.60E+01	1.21E+01	12.1
1.65E+01	1.21E+01	12.9
1.70E+01	1.21E+01	13.65
1.75E+01	1.21E+01	14.35
1.80E+01	1.21E+01	15.05
1.85E+01	1.21E+01	15.7
1.90E+01	1.21E+01	16.35
1.95E+01	1.21E+01	17
2.00E+01	1.21E+01	17.65
2.05E+01	1.21E+01	18.25
2.10E+01	1.21E+01	18.85
2.15E+01	1.21E+01	19.45
2.20E+01	1.21E+01	20
2.25E+01	1.21E+01	20.6
2.30E+01	1.21E+01	21.15
2.35E+01	1.21E+01	21.7
2.40E+01	1.21E+01	22.25
2.45E+01	1.21E+01	22.75
2.50E+01	1.21E+01	23.3
