==============================================================	
Station  speed  power by Qblade	
--------------------------------------------------------------	
3.00E+00	1.04E+06
4.00E+00	1.60E+06
5.00E+00	2.32E+06
6.00E+00	3.18E+06
7.00E+00	4.13E+06
8.00E+00	5.26E+06
9.00E+00	6.66E+06
1.00E+01	8.22E+06
1.10E+01	9.29E+06
1.20E+01	7.07E+06
1.30E+01	6.03E+06
1.40E+01	5.33E+06
1.50E+01	4.74E+06
1.60E+01	4.26E+06
1.70E+01	3.86E+06
1.80E+01	3.49E+06
1.90E+01	3.20E+06
2.00E+01	2.92E+06
2.10E+01	2.66E+06
2.20E+01	2.42E+06
2.30E+01	2.15E+06
2.40E+01	1.97E+06
2.50E+01	1.77E+06
