==============================================================			
Station  speed displacement			
--------------------------------------------------------------			
0	0	0	0
1	1	0	0
2	2	0	0
3	3	6.30E-02	6.30E-02
4	4	1.21E-01	1.21E-01
5	5	1.90E-01	1.90E-01
6	6	2.71E-01	2.71E-01
7	7	3.61E-01	3.61E-01
8	8	4.64E-01	4.64E-01
9	9	5.87E-01	5.87E-01
10	10	7.24E-01	7.24E-01
11	11	8.59E-01	8.59E-01
12	12	7.96E-01	7.96E-01
13	13	7.73E-01	7.73E-01
14	14	7.71E-01	7.71E-01
15	15	7.83E-01	7.83E-01
16	16	8.04E-01	8.04E-01
17	17	8.26E-01	8.26E-01
18	18	8.54E-01	8.54E-01
19	19	8.87E-01	8.87E-01
20	20	9.18E-01	9.18E-01
21	21	9.54E-01	9.54E-01
22	22	9.91E-01	9.91E-01
23	23	1.03E+00	1.03E+00
24	24	1.06E+00	1.06E+00
25	25	1.10E+00	1.10E+00
26	26	0	0
27	27	0	0
28	28	0	0
29	29	0	0
30	30	0	0
==============================================================			
