==============================================================	
Station  speed  power by Qblade	
--------------------------------------------------------------	
3.00E+00	42.9
4.00E+00	188.2
5.00E+00	427.9
6.00E+00	781.3
7.00E+00	1257.6
8.00E+00	1876.2
9.00E+00	2668
1.00E+01	3653
1.10E+01	4833.2
1.20E+01	5296.6
1.30E+01	5296.6
1.40E+01	5296.6
1.50E+01	5296.6
1.60E+01	5296.6
1.70E+01	5296.6
1.80E+01	5296.6
1.90E+01	5296.6
2.00E+01	5296.7
2.10E+01	5296.6
2.20E+01	5296.7
2.30E+01	5296.6
2.40E+01	5296.6
2.50E+01	5296.7
