==============================================================	
Station  speed  power by Qblade	
--------------------------------------------------------------	
3.00E+00	7.04E+04
4.00E+00	1.12E+05
5.00E+00	1.65E+05
6.00E+00	2.28E+05
7.00E+00	2.98E+05
8.00E+00	3.80E+05
9.00E+00	4.80E+05
1.00E+01	5.93E+05
1.10E+01	6.74E+05
1.20E+01	5.29E+05
1.30E+01	4.65E+05
1.40E+01	4.24E+05
1.50E+01	3.90E+05
1.60E+01	3.63E+05
1.70E+01	3.43E+05
1.80E+01	3.24E+05
1.90E+01	3.12E+05
2.00E+01	2.99E+05
2.10E+01	2.87E+05
2.20E+01	2.78E+05
2.30E+01	2.67E+05
2.40E+01	2.62E+05
2.50E+01	2.55E+05
