==============================================================	
Station  speed  power by Qblade	
--------------------------------------------------------------	
3.00E+00	7.94E+04
4.00E+00	2.74E+05
5.00E+00	5.76E+05
6.00E+00	9.99E+05
7.00E+00	1.50E+06
8.00E+00	2.09E+06
9.00E+00	2.65E+06
1.00E+01	3.27E+06
1.10E+01	4.02E+06
1.20E+01	3.95E+06
1.30E+01	3.95E+06
1.40E+01	3.95E+06
1.50E+01	3.95E+06
1.60E+01	3.95E+06
1.70E+01	3.95E+06
1.80E+01	3.95E+06
1.90E+01	3.95E+06
2.00E+01	3.95E+06
2.10E+01	3.95E+06
2.20E+01	3.95E+06
2.30E+01	3.95E+06
2.40E+01	3.95E+06
2.50E+01	3.95E+06
